State,District,Latitude,Longitude,Population,District code,Male,Female,Literate,Households_with_Internet,Housholds_with_Electric_Lighting,Sex Ratio,Literacy Rate
Andhra Pradesh,Adilabad,19.284513950073435,78.81321233480176,2741239,532,1369597,1371642,1483347,5512,566108,100.0,54.0
Andhra Pradesh,Anantapur,14.312065561843148,77.4601584478577,4081148,553,2064495,2016653,2310960,8606,897970,102.0,57.0
Andhra Pradesh,Chittoor,13.33109263067696,78.92763898886037,4174064,554,2090204,2083860,2667878,13763,944555,100.0,64.0
Andhra Pradesh,East Godavari,16.782718320784902,82.2432074720511,5154296,545,2569688,2584608,3288577,22411,1297273,99.0,64.0
Andhra Pradesh,Guntur,15.884925767634847,80.58657614107885,4887813,548,2440521,2447292,2960441,19383,1186028,100.0,61.0
Andhra Pradesh,Hyderabad,17.38971555555556,78.46668888888888,3943323,536,2018575,1924748,2892155,149034,869721,105.0,73.0
Andhra Pradesh,Karimnagar,18.515483193277312,79.43765428571413,3776269,534,1880800,1895469,2206829,8831,926768,99.0,58.0
Andhra Pradesh,Khammam,17.683921325051784,80.67008643892335,2797370,541,1390988,1406382,1630234,8628,668519,99.0,58.0
Andhra Pradesh,Krishna,16.143872753151673,81.14805061000413,4517398,547,2267375,2250023,3009718,30438,1163932,101.0,67.0
Andhra Pradesh,Kurnool,15.43759715142429,77.90086836581717,4053463,552,2039227,2014236,2127161,10081,816721,101.0,52.0
Andhra Pradesh,Mahbubnagar,16.639546224256293,77.98933089244859,4053028,538,2050386,2002642,1940646,6153,757821,102.0,48.0
Andhra Pradesh,Medak,17.889304978038055,78.13778901903379,3033288,535,1523030,1510258,1637137,8635,604719,101.0,54.0
Andhra Pradesh,Nalgonda,17.113250515463907,79.16984453608244,3488809,539,1759772,1729037,2001019,7715,789225,102.0,57.0
Andhra Pradesh,Nizamabad,18.429485849056604,78.07523490566035,2551335,533,1250641,1300694,1389810,5261,545913,96.0,54.0
Andhra Pradesh,Prakasam,15.489039001601704,80.11665790176184,3397448,549,1714764,1682684,1904435,6151,763746,102.0,56.0
Andhra Pradesh,Srikakulam,18.570900998697432,84.25874814010675,2703114,542,1341738,1361376,1495381,3988,615432,99.0,55.0
Andhra Pradesh,Vizianagaram,18.28329696032972,83.45982854198873,2344474,543,1161477,1182997,1238388,4453,527736,98.0,53.0
Andhra Pradesh,Warangal,18.01752608695651,79.87422028985509,3512576,540,1759281,1753295,2065023,12952,828077,100.0,59.0
Andhra Pradesh,West Godavari,16.63297943925236,81.45912990654196,3936966,546,1964918,1972048,2652389,12050,1017568,100.0,67.0
Arunachal Pradesh,Changlang,27.36048479338845,96.37552644628106,148226,253,76948,71278,73174,170,14593,108.0,49.0
Arunachal Pradesh,East Kameng,27.371194055944056,93.04741486013997,78690,247,38775,39915,38449,57,5318,97.0,49.0
Arunachal Pradesh,East Siang,28.15382352941176,95.06499226006191,99214,251,50116,49098,62576,450,14231,102.0,63.0
Arunachal Pradesh,Kurung Kumey,28.04853351800553,93.24531994459834,92076,256,45318,46758,36606,95,3911,97.0,40.0
Arunachal Pradesh,Lohit,27.946785273972623,96.59670770547945,145726,259,76221,69505,83062,312,17157,110.0,57.0
Arunachal Pradesh,Lower Dibang Valley,28.32651730103806,95.76567335640142,54080,258,28053,26027,31849,207,5932,108.0,59.0
Arunachal Pradesh,Lower Subansiri,27.70849297297297,93.96226108108112,83030,255,41843,41187,54057,381,12493,102.0,65.0
Arunachal Pradesh,Papum Pare,27.273529716981127,93.54468183962264,176573,248,89182,87391,121048,2477,30539,102.0,69.0
Arunachal Pradesh,Tawang,27.680683962264148,91.82504245283016,49977,245,29151,20826,26073,96,8635,140.0,52.0
Arunachal Pradesh,Tirap,26.94406229508198,95.41470327868862,111975,254,57604,54371,47974,98,16026,106.0,43.0
Arunachal Pradesh,Upper Siang,28.8309244897959,95.00155765306124,35320,252,18699,16621,18195,97,6198,113.0,52.0
Arunachal Pradesh,Upper Subansiri,28.277196566523585,93.8991435622318,83448,249,41758,41690,45278,139,5373,100.0,54.0
Arunachal Pradesh,West Kameng,27.46486582278483,92.65015750452083,83947,246,46155,37792,48492,202,14188,122.0,58.0
Arunachal Pradesh,West Siang,28.106296920289843,94.53510344202908,112274,250,58168,54106,64746,303,14204,108.0,58.0
Assam,Barpeta,26.427872264631056,90.97912010178116,1693622,303,867004,826618,897058,2078,84804,105.0,53.0
Assam,Bongaigaon,26.45012521994133,90.6734296187684,738804,319,375818,362986,434078,2523,49866,104.0,59.0
Assam,Cachar,24.815570668693017,92.86849650455927,1736617,316,886284,850333,1174128,5316,140205,104.0,68.0
Assam,Darrang,26.58463215962442,92.04141338028155,928500,325,475273,453227,487039,1166,45444,105.0,52.0
Assam,Dhemaji,27.586533438485816,94.71336908517353,686133,308,351249,334884,423028,1192,28195,105.0,62.0
Assam,Dibrugarh,27.30612284482757,95.0998282327587,1326335,310,676434,649901,884531,8817,136685,104.0,67.0
Assam,Goalpara,26.017277777777807,90.59869891598912,1008183,302,513292,494891,563577,1364,78641,104.0,56.0
Assam,Golaghat,26.377219709794485,93.82583397823468,1066888,313,543161,523727,721764,3073,82345,104.0,68.0
Assam,Hailakandi,24.457496089385486,92.59154664804475,659296,318,337890,321406,407366,1211,44143,105.0,62.0
Assam,Jorhat,26.76244824016563,94.30197722567289,1092256,312,556805,535451,794929,5651,122063,104.0,73.0
Assam,Kamrup,26.170939452054807,91.58863273972592,1517542,321,778461,739081,995319,3109,122191,105.0,66.0
Assam,Karbi Anglong,26.08966454598031,93.11536570271832,956313,314,490167,466146,557214,1923,53918,105.0,58.0
Assam,Karimganj,24.69660712250711,92.3679498575498,1228686,317,625864,602822,795297,1933,70951,104.0,65.0
Assam,Kokrajhar,26.497246635730868,90.13997470997688,887142,300,452905,434237,489305,1218,41373,104.0,55.0
Assam,Lakhimpur,27.14128805970149,94.0775949253732,1042137,307,529674,512463,683486,1948,60296,103.0,66.0
Assam,Nagaon,26.26462170626351,92.9306191144708,2823768,305,1439112,1384656,1710716,5121,195631,104.0,61.0
Assam,Nalbari,26.46323767605632,91.40598521126763,771639,323,396006,375633,531771,1631,68313,105.0,69.0
Assam,Sonitpur,26.73514926829268,92.85197804878044,1924110,306,983904,940206,1108572,4358,133368,105.0,58.0
Assam,Tinsukia,27.53549291139241,95.69055949367085,1327929,309,680231,647698,798322,5135,161718,105.0,60.0
Bihar,Araria,26.211528119180603,87.30766554934816,2811569,209,1463333,1348236,1195768,2561,43290,109.0,43.0
Bihar,Aurangabad,24.774291867469877,84.45986024096379,2540073,235,1318684,1221389,1466002,2362,44456,108.0,58.0
Bihar,Aurangabad,24.774291867469877,84.45986024096379,3701282,515,1924469,1776813,2503837,23258,589477,108.0,68.0
Bihar,Banka,24.832355642023337,86.8664916342413,2034763,225,1067140,967623,965321,1704,62359,110.0,47.0
Bihar,Begusarai,25.54302613168723,86.12560144032932,2970541,222,1567660,1402881,1548673,4644,120373,112.0,52.0
Bihar,Bhagalpur,25.277192885375477,87.04213814229242,3037766,224,1615663,1422103,1573066,6764,174534,114.0,52.0
Bihar,Bhojpur,25.50666439393939,84.49407803030304,2728407,231,1430380,1298027,1599151,3661,62153,110.0,59.0
Bihar,Buxar,25.48593018867924,84.08808081760995,1706352,232,887977,818375,989807,1784,46760,109.0,58.0
Bihar,Darbhanga,26.146187719298258,85.97387352472099,3937385,215,2059949,1877436,1816634,6280,127442,110.0,46.0
Bihar,Gaya,24.7266541547278,84.94291217765044,4391418,236,2266566,2124852,2297613,6856,112617,107.0,52.0
Bihar,Gopalganj,26.44874364161851,84.34636127167629,2562012,217,1267666,1294346,1382998,3707,69375,98.0,54.0
Bihar,Jamui,24.78418380462726,86.26316298200514,1760405,238,916064,844341,858588,1839,32633,108.0,49.0
Bihar,Jehanabad,25.155679045643165,84.9208124481328,1125313,239,585582,539731,618881,1106,27641,108.0,55.0
Bihar,Katihar,25.56565356037151,87.70466083591326,3071029,212,1600430,1470599,1280190,2941,60900,109.0,42.0
Bihar,Khagaria,25.53558891454964,86.56593256351037,1666886,223,883786,783100,768028,1580,40641,113.0,46.0
Bihar,Kishanganj,26.324336758321294,87.95045007235886,1690400,210,866970,823430,745056,1093,58718,105.0,44.0
Bihar,Lakhisarai,25.183449321266963,86.12825701357468,1000912,227,526345,474567,507270,1186,44491,111.0,51.0
Bihar,Madhepura,25.77341929460581,86.8978443983403,2001762,213,1047559,954203,834577,1397,23236,110.0,42.0
Bihar,Madhubani,26.41380538172716,86.16328360450552,4487379,207,2329313,2158066,2155338,5319,113281,108.0,48.0
Bihar,Munger,25.198537962962963,86.54173672839504,1367765,226,729041,638724,801817,2653,90461,114.0,59.0
Bihar,Muzaffarpur,26.18664417177915,85.32745092024543,4801062,216,2527497,2273565,2509232,10290,180651,111.0,52.0
Bihar,Nalanda,25.229345508982053,85.48053113772461,2877653,229,1497060,1380593,1519933,4156,101378,108.0,53.0
Bihar,Nawada,24.825708836206903,85.61594568965519,2219146,237,1144668,1074478,1091012,1841,31162,107.0,49.0
Bihar,Pashchim Champaran,27.16064352201258,84.30265911949685,3935042,203,2061110,1873932,1759481,3495,57546,110.0,45.0
Bihar,Patna,25.40297114503818,85.3198433587787,5838465,230,3078512,2759953,3459679,40692,546859,112.0,59.0
Bihar,Purba Champaran,26.68129336734693,85.00382155612242,5099371,204,2681209,2418162,2276957,7719,74979,111.0,45.0
Bihar,Purnia,25.81714801901739,87.40447606973065,3264619,211,1699370,1565249,1332326,4170,86058,109.0,41.0
Bihar,Rohtas,24.99170460829495,83.9350762672811,2959918,234,1543546,1416372,1799832,4594,114893,109.0,61.0
Bihar,Saharsa,25.821270696721303,86.54670819672135,1900661,214,997174,903487,804996,1668,41342,110.0,42.0
Bihar,Samastipur,25.793205563909765,85.94833323308269,4261566,221,2230003,2031563,2142880,5379,88021,110.0,50.0
Bihar,Saran,25.89656077844312,84.82266287425155,3951862,219,2022821,1929041,2157454,4509,94787,105.0,55.0
Bihar,Sheikhpura,25.12472436548223,85.77839390862943,636342,228,329743,306599,328676,631,20065,108.0,52.0
Bihar,Sheohar,26.458380748663107,85.29539411764709,656246,205,346673,309573,283698,478,10004,112.0,43.0
Bihar,Sitamarhi,26.56570069686413,85.61172491289203,3423574,206,1803252,1620322,1436794,3460,66263,111.0,42.0
Bihar,Siwan,26.1736372013652,84.33766552901022,3330464,218,1675090,1655374,1930175,3834,52935,101.0,58.0
Bihar,Supaul,26.28157893772896,86.78496465201461,2229076,208,1155283,1073793,1033283,1845,51028,108.0,46.0
Bihar,Vaishali,25.8134703180212,85.39247597173153,3495021,220,1844535,1650486,1926740,4810,70001,112.0,55.0
Chandigarh,Chandigarh,30.7426,76.75872465753424,1055450,55,580663,474787,805438,44283,231204,122.0,76.0
Chhattisgarh,Bastar,19.393866751269048,81.52895126903546,1413199,414,698487,714712,650863,1782,157646,98.0,46.0
Chhattisgarh,Bilaspur,22.356942982456143,81.99770350877188,381956,30,192764,189192,287620,1574,79146,102.0,75.0
Chhattisgarh,Bilaspur,22.356942982456143,81.99770350877188,2663629,406,1351574,1312055,1596560,8566,519704,103.0,60.0
Chhattisgarh,Dhamtari,20.554912627291245,81.7569195519348,799781,412,397897,401884,546833,1016,148926,99.0,68.0
Chhattisgarh,Durg,21.194463849287164,81.33181639511197,3343872,409,1682101,1661771,2303378,16141,614109,101.0,69.0
Chhattisgarh,Jashpur,22.77286167664669,83.8703962075848,851669,402,424747,426922,495415,567,76783,99.0,58.0
Chhattisgarh,Korba,22.491712499999995,82.57604326923074,1206640,404,612915,593725,748759,4544,202380,103.0,62.0
Chhattisgarh,Koriya,23.50412776859501,82.12515636363635,658917,400,334737,324180,397823,1667,80023,103.0,60.0
Chhattisgarh,Mahasamund,21.223727037773354,82.65925427435384,1032754,411,511967,520787,637963,961,212487,98.0,62.0
Chhattisgarh,Raigarh,22.008265068493166,83.27797698630134,1493984,403,750278,743706,951639,3342,297308,101.0,64.0
Chhattisgarh,Raigarh,22.008265068493166,83.27797698630134,2634200,520,1344345,1289855,1939994,38570,547206,104.0,74.0
Chhattisgarh,Raipur,20.88603153846152,82.20032759615388,4063872,410,2048186,2015686,2629749,20261,728556,102.0,65.0
Chhattisgarh,Surguja,23.32719278728607,83.23582493887531,2359886,401,1193129,1166757,1187941,2737,253131,102.0,50.0
Daman and Diu,Daman,20.431616666666677,72.8392366071429,191173,495,124659,66514,150348,1316,49249,187.0,79.0
Daman and Diu,Junagadh,20.72568199498111,70.83985639899612,2743082,479,1404356,1338726,1842818,6628,498326,105.0,67.0
Goa,North Goa,15.548723418714054,73.80667997909038,818008,585,416677,401331,663060,23440,173951,104.0,81.0
Goa,South Goa,15.195278658183785,73.941792596877,640537,586,322463,318074,502427,17624,138810,101.0,78.0
Gujarat,Ahmadabad,22.605425564971743,72.23898135593227,7214225,474,3788051,3426174,5435760,126341,1456046,111.0,75.0
Gujarat,Amreli,21.04832649310872,71.43457637825426,1514190,480,771049,743141,995459,2538,273331,104.0,66.0
Gujarat,Anand,22.282718206229863,72.57782051557454,2092745,482,1087224,1005521,1551253,9902,378310,108.0,74.0
Gujarat,Banas Kantha,24.258538965517253,71.93205252873561,3120506,469,1610379,1510127,1704923,3424,396873,107.0,55.0
Gujarat,Bharuch,21.75787276237761,72.67326346710801,1551019,488,805707,745312,1118276,10257,309091,108.0,72.0
Gujarat,Bhavnagar,21.70219390341736,72.16272632761141,2880365,481,1490201,1390164,1887255,7297,500757,107.0,66.0
Gujarat,Gandhinagar,23.193679790026252,72.67221679790026,1391753,473,723864,667889,1030494,12107,262539,108.0,74.0
Gujarat,Jamnagar,22.410600414263328,69.62062005768233,2160119,477,1114192,1045927,1396534,11573,386538,107.0,65.0
Gujarat,Junagadh,20.929523011609785,70.54733890140345,2743082,479,1404356,1338726,1842818,6628,498326,105.0,67.0
Gujarat,Kachchh,23.48057203301311,68.82192301497916,2092371,468,1096737,995634,1252319,9631,403294,110.0,60.0
Gujarat,Kheda,22.88765312500002,73.018803515625,2299885,483,1185727,1114158,1660243,5710,372226,106.0,72.0
Gujarat,Mahesana,23.529355452865065,72.45545194085031,2035064,471,1056520,978544,1502645,7759,385609,108.0,74.0
Gujarat,Narmada,21.70666386292833,73.68403208722742,590297,487,301086,289211,370336,576,101940,104.0,63.0
Gujarat,Navsari,20.866973318871995,72.86184869848157,1329672,490,678165,651507,1001909,6726,267679,104.0,75.0
Gujarat,Panch Mahals,22.80435606837605,73.61984598290586,2390776,484,1226961,1163815,1440805,3456,398937,105.0,60.0
Gujarat,Patan,23.80634198473284,71.75162977099237,1343734,470,694397,649337,837913,2231,223424,107.0,62.0
Gujarat,Porbandar,21.55092351651571,69.71896987722886,585449,478,300209,285240,393678,1653,117040,105.0,67.0
Gujarat,Rajkot,22.40603377715488,70.83679439383323,3804558,476,1974445,1830113,2725056,21785,747352,108.0,72.0
Gujarat,Sabar Kantha,23.71803594548552,73.13638790459964,2428589,472,1244231,1184358,1578734,5262,438606,105.0,65.0
Gujarat,Surat,21.25761372772093,72.93488716344339,6081322,492,3402224,2679098,4571410,55694,1252452,127.0,75.0
Gujarat,Surendranagar,22.82672007299272,71.48358740875906,1756268,475,909917,846351,1093626,2975,302068,108.0,62.0
Gujarat,The Dangs,20.801633877551023,73.6883518367347,228291,489,113821,114470,140968,137,29794,99.0,62.0
Gujarat,Vadodara,22.26133739279589,73.49433010291594,4165626,486,2153736,2011890,2893080,53606,798277,107.0,69.0
Gujarat,Valsad,20.44238231644259,72.9148584798345,1705678,491,887222,818456,1170657,11020,329218,108.0,69.0
Haryana,Ambala,30.3503672316384,76.94970310734456,1128350,70,598703,529647,818025,12899,199681,113.0,72.0
Haryana,Bhiwani,28.728868064516128,76.02110225806452,1634445,81,866672,767773,1069871,5292,266244,113.0,65.0
Haryana,Faridabad,28.14873109756098,77.32718536585368,1809733,88,966110,843623,1272739,43437,333171,115.0,70.0
Haryana,Fatehabad,29.57298318584072,75.54608716814157,942011,78,495360,446651,557578,3210,153301,111.0,59.0
Haryana,Gurgaon,28.043894789579163,77.01935130260523,1514432,86,816690,697742,1111116,67087,305751,117.0,73.0
